Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$255.53,-2.68,-1.038%,3755761030780.00,United States,1980,72014020,Technology,Computer Manufacturing
ABBV,AbbVie Inc. Common Stock,$214.35,-2.40,-1.107%,378838895869.00,United States,2012,8648480,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,$121.76,-1.77,-1.433%,211725048267.00,United States,,10338271,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$327.01,7.93,2.485%,259300410116.00,United States,1972,11395547,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$231.83,3.91,1.716%,377428870218.00,United States,,42390413,Technology,Semiconductors
AMZN,Amazon.com Inc. Common Stock,$239.12,0.94,0.395%,2556244452550.00,United States,1997,45823243,Consumer Discretionary,Catalog/Specialty Distribution
AVGO,Broadcom Inc. Common Stock,$351.71,8.69,2.533%,1667553407846.00,United States,2009,31214375,Technology,Semiconductors
AXP,American Express Company Common Stock,$364.79,7.42,2.076%,251286194498.00,United States,,3546734,Finance,Finance: Consumer Services
BAC,Bank of America Corporation Common Stock,$52.97,0.38,0.723%,386813189284.00,United States,,52041674,Finance,Major Banks
BRK/A,Berkshire Hathaway Inc.,$740750.00,2059.10,0.279%,1089549915500.00,United States,,291,,
BRK/B,Berkshire Hathaway Inc.,$493.29,0.67,0.136%,1088351336201.00,United States,,4804328,,
C,Citigroup Inc. Common Stock,$118.04,0.58,0.494%,211204977408.00,United States,,17152299,Finance,Major Banks
CAT,Caterpillar Inc. Common Stock,$646.89,-0.29,-0.045%,302731320856.00,United States,,2551445,Industrials,Construction/Ag Equipment/Trucks
CCZ,Comcast Holdings ZONES,$63.18,0.00,0.00%,230221254826.00,United States,,23,Telecommunications,Cable & Other Pay Television Services
COST,Costco Wholesale Corporation Common Stock,$963.61,6.86,0.717%,427717003134.00,United States,,3860108,Consumer Discretionary,Department/Specialty Retail Stores
CRM,Salesforce Inc. Common Stock,$227.11,-6.42,-2.749%,212802070000.00,United States,2004,13842213,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$75.19,-0.06,-0.08%,297082800192.00,United States,1990,25630612,Telecommunications,Computer Communications Equipment
CVX,Chevron Corporation Common Stock,$166.26,0.10,0.06%,334768100717.00,United States,,9719835,Energy,Integrated oil Companies
GE,GE Aerospace Common Stock,$325.12,5.18,1.619%,342941098744.00,United States,,4037164,Technology,Consumer Electronics/Appliances
GOOG,Alphabet Inc. Class C Capital Stock,$330.34,-2.82,-0.846%,3986212780000.00,United States,2004,21784764,Technology,Computer Software: Programming Data Processing
